                        List of relations
 Schema |              Name              | Type  |     Owner      
--------+--------------------------------+-------+----------------
 public | absence_policies               | table | apppaylinkmain
 public | accrual_accounts               | table | apppaylinkmain
 public | accrual_balances               | table | apppaylinkmain
 public | accrual_policies               | table | apppaylinkmain
 public | accrual_policy_milestones      | table | apppaylinkmain
 public | branches                       | table | apppaylinkmain
 public | break_policies                 | table | apppaylinkmain
 public | check_templates                | table | apppaylinkmain
 public | companies                      | table | apppaylinkmain
 public | contractor_invoice_attachments | table | apppaylinkmain
 public | contractor_invoices            | table | apppaylinkmain
 public | contributing_pay_codes         | table | apppaylinkmain
 public | contributing_shifts            | table | apppaylinkmain
 public | cost_centers                   | table | apppaylinkmain
 public | currencies                     | table | apppaylinkmain
 public | departments                    | table | apppaylinkmain
 public | divisions                      | table | apppaylinkmain
 public | eligibility_rule_sets          | table | apppaylinkmain
 public | employee_contacts              | table | apppaylinkmain
 public | employee_group_configs         | table | apppaylinkmain
 public | employee_groups                | table | apppaylinkmain
 public | employee_titles                | table | apppaylinkmain
 public | employee_wage_groups           | table | apppaylinkmain
 public | enterprises                    | table | apppaylinkmain
 public | exception_policies             | table | apppaylinkmain
 public | expense_approval_actions       | table | apppaylinkmain
 public | expense_attachments            | table | apppaylinkmain
 public | expense_categories             | table | apppaylinkmain
 public | expenses                       | table | apppaylinkmain
 public | funding_accounts               | table | apppaylinkmain
 public | holiday_policies               | table | apppaylinkmain
 public | holidays                       | table | apppaylinkmain
 public | jobs                           | table | apppaylinkmain
 public | kpi_groups                     | table | apppaylinkmain
 public | legal_entities                 | table | apppaylinkmain
 public | meal_policies                  | table | apppaylinkmain
 public | new_hire_defaults              | table | apppaylinkmain
 public | notification_preferences       | table | apppaylinkmain
 public | overtime_policies              | table | apppaylinkmain
 public | pay_codes                      | table | apppaylinkmain
 public | pay_formulas                   | table | apppaylinkmain
 public | pay_methods                    | table | apppaylinkmain
 public | pay_period_schedules           | table | apppaylinkmain
:
